1	1	1
2	1	1
3	1	1
4	1	1
5	1	2
6	1	2
7	1	3
8	1	3
9	1	3
10	1	2
12	1	2
13	1	1
14	1	1
15	1	1
17	1	1
18	1	1
11	2	1
20	2	1
21	2	2
16	3	2
23	3	2
19	1	2
25	1	3
24	3	3
27	3	3
22	2	3
26	1	3
30	1	3
31	1	3
28	3	3
33	3	3
34	3	3
35	3	3
36	3	3
37	3	3
29	2	3
39	2	1
40	2	1
41	2	1
42	2	2
43	2	2
32	1	2
45	1	3
46	1	3
47	1	3
48	1	3
49	1	3
38	3	3
51	3	3
44	2	2
53	2	2
50	1	2
55	1	2
56	1	1
57	1	1
58	1	2
59	1	2
60	1	2
61	1	2
52	3	2
63	3	2
54	2	2
65	2	1
66	2	1
67	2	3
68	2	3
62	1	1
70	1	1
64	3	2
72	3	2
71	1	1
74	1	1
73	3	1
76	3	1
69	2	1
78	2	1
79	2	2
80	2	2
81	2	2
82	2	2
83	2	2
84	2	2
85	2	2
75	1	2
87	1	2
88	1	2
89	1	2
77	3	3
91	3	3
86	2	1
93	2	1
92	3	2
95	3	2
90	1	1
97	1	1
94	2	3
96	3	3
100	3	3
98	1	2
102	1	2
101	3	1
104	3	1
103	1	3
106	1	3
99	2	2
108	2	2
107	1	1
110	1	1
105	3	3
112	3	3
111	1	2
114	1	2
113	3	1
116	3	1
109	2	2
118	2	2
115	1	3
120	1	3
121	1	3
122	1	3
123	1	3
117	3	3
125	3	3
119	2	1
127	2	1
124	1	2
129	1	2
128	2	3
131	2	3
130	1	2
133	1	2
126	3	2
135	3	3
132	2	3
137	2	1
136	3	1
139	3	2
138	2	2
141	2	1
140	3	1
143	3	3
134	1	3
145	1	2
142	2	2
147	2	2
144	3	2
149	3	2
146	1	3
151	1	3
150	3	1
153	3	1
148	2	2
155	2	2
154	3	3
157	3	3
156	2	1
152	1	1
160	1	1
158	3	2
162	3	2
159	2	3
164	2	3
163	3	1
166	3	1
161	1	2
168	1	2
167	3	3
170	3	3
169	1	1
172	1	1
171	3	3
174	3	3
165	2	2
176	2	2
175	3	1
178	3	1
173	1	3
180	1	3
177	2	2
182	2	2
183	2	1
181	1	1
185	1	3
179	3	3
187	3	2
184	2	2
189	2	1
186	1	1
191	1	3
188	3	3
193	3	2
190	2	1
195	2	1
192	1	3
197	1	3
194	3	2
199	3	2
196	2	1
201	2	1
198	1	3
203	1	3
200	3	2
205	3	2
202	2	1
207	2	1
204	1	1
206	3	1
